Year,Crop,Hectares
1898,Sugarcane,50585.75
1910,Sugarcane,84769.171734
1920,Sugarcane,100296.568868
1930,Sugarcane,98241.978046
1940,Sugarcane,95145.72546
1950,Sugarcane,89185.91473799999
1960,Sugarcane,90899.355262
1970,Sugarcane,96718.739942
1975,Sugarcane,89608.002236
1978,Sugarcane,40090.21859
1982,Sugarcane,36298.715456
1987,Sugarcane,32064.890524
1992,Sugarcane,25460.81969
1997,Sugarcane,12740.729338
2007,Sugarcane,8174.6572
2012,Sugarcane,6272.633
2016,Sugarcane,6029.8214
2017,Sugarcane,0
2018,Sugarcane,0
2019,Sugarcane,0
2020,Sugarcane,0
1900,Pineapple,31.970194
1940,Pineapple,19666.930228
1950,Pineapple,20646.270348
1959,Pineapple,25549.445924
1969,Pineapple,20846.994604
1970,Pineapple,25703.226604
1978,Pineapple,10244.221404
1982,Pineapple,9364.838726
1987,Pineapple,9009.119732
1992,Pineapple,6272.633
1997,Pineapple,5257.680512
2002,Pineapple,4132.248746
2017,Pineapple,1518.381872
1930,Pasture,840268.562042
1960,Pasture,849962.0057999999
1968,Pasture,465605.002324
1997,Pasture,393522.73669
2002,Pasture,376614.146238
2007,Pasture,317408.989124
2012,Pasture,324310.908854
2015,Pasture,308139.656294
2020,Pasture,309819.10319399997
1940,Total_Crops,167135.318
1950,Total_Crops,188178.99
1959,Total_Crops,202343
1969,Total_Crops,153780.68
1974,Total_Crops,141640.1
1978,Total_Crops,134866.46573199998
1982,Total_Crops,140067.085518
1987,Total_Crops,132492.577656
1992,Total_Crops,118723.136506
1997,Total_Crops,118211.613402
2002,Total_Crops,85437.30832
2007,Total_Crops,71882.75543599999
2012,Total_Crops,70432.360812
2015,Total_Crops,61436.595718
2020,Total_Crops,48818.081551999996
