Year,LandCover,BurnedHectares
1999,Other,64.5054746829206
1999,Pasture,8099.6476928752845
2000,Other,1311.4412218227417
2000,Pasture,1265.490843542678
2000,Sugar,81.13984200155922
2001,Other,85.6329618928954
2001,Pasture,104.14378897069246
2001,Sugar,113.83129441960523
2002,Other,1335.19616372461
2002,Pasture,536.7943245115973
2002,Sugar,93.77956473303661
2003,Other,5140.032331234556
2003,Pasture,2756.861417719429
2003,Pineapple,1516.3035716578265
2003,Sugar,674.7717113547444
2004,Other,388.930080746378
2004,Pasture,1928.2817953933913
2004,Sugar,19.817296720294284
2005,Other,1436.2942896750592
2005,Pasture,10754.962985383736
2005,Sugar,1234.4346515054028
2006,Other,335.1141604936489
2006,Pasture,4457.315448867324
2006,Sugar,253.96472195132168
2007,Other,2494.464810979542
2007,Pasture,5739.461134625232
2007,Pineapple,380.2764508135542
2007,Sugar,3405.644754720805
2008,Other,10.560390862711891
2008,Pasture,1573.7016621692314
2008,Pineapple,1632.5854493800261
2008,Sugar,48.378963715680875
2009,Other,69.44296008800198
2009,Pasture,4448.531132745428
2009,Sugar,253.68791706419216
2010,Other,87.55936405807175
2010,Pasture,2095.184190262938
2010,Sugar,307.9202535809845
2011,Other,679.6992797894567
2011,Pasture,478.365344057801
2012,Other,664.6069387668573
2012,Pasture,1824.5365172469874
2012,Sugar,1304.0099973522
2013,Other,271.94578865579325
2013,Pasture,271.62920918375175
2013,Pineapple,12.667571550763025
2013,Sugar,141.82768576786518
2014,Other,266.23282572944964
2014,Pasture,674.2087397673373
2014,Sugar,103.97406411363036
2015,Other,235.32834053870278
2015,Pasture,1257.8383478565067
2015,Sugar,1400.8844542181523
2016,Other,211.09402935087837
2016,Pasture,5104.495368780798
2016,Sugar,1001.9427819005203
2017,Other,105.53976035602074
2017,Pasture,1811.5535740778957
2017,Pineapple,15.867842812049762
2017,Sugar,978.5134850935351
2018,Other,377.75271216892884
2018,Pasture,9572.445518281655
2018,Pineapple,41.930064704332686
2018,Sugar,2658.398818237447
2019,Other,246.8081410463397
2019,Pasture,2270.1615576485337
2019,Sugar,6762.081239071853
2020,Other,3499.3048783960207
2020,Pasture,1846.6558821684448
2020,Pineapple,170.15720683643548
2020,Sugar,2490.6277250809167
2021,Other,251.27403270289992
2021,Pasture,17709.728567819788
2021,Sugar,1060.923822059254
2022,Other,408.48949515445474
2022,Pasture,6087.479276499164
2022,Pineapple,1.4782601859815419
2022,Sugar,857.5595377391037
